ID,Team,Title,Description,Status,Estimate,Priority,Project ID,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Triaged,Completed,Canceled,Archived,Due Date,Parent issue,Initiatives,Project Milestone ID,Project Milestone,SLA Status,Roadmaps
GDB-57,Genderbase,User authentication,Set up secure authentication for responders with appropriate roles and permissions,Backlog,,High,9492a27d-e337-4bc6-8aeb-ae22755e0ad9,Genderbase Security,dave@dave.io,dave@dave.io,"authentication, security",,,,,,,,,,,,,,,,,,
GDB-58,Genderbase,Set up Devise authentication,Configure Devise gem for responder authentication,Backlog,,High,9492a27d-e337-4bc6-8aeb-ae22755e0ad9,Genderbase Security,dave@dave.io,dave@dave.io,"authentication, backend",,,,,,,,,,,,,GDB-57,,,,,
GDB-59,Genderbase,Create responder registration workflow,Build registration process for new responders,Backlog,,High,9492a27d-e337-4bc6-8aeb-ae22755e0ad9,Genderbase Security,dave@dave.io,dave@dave.io,"authentication, registration",,,,,,,,,,,,,GDB-57,,,,,
GDB-60,Genderbase,Implement password strength requirements,Add password requirements and validation,Backlog,,High,9492a27d-e337-4bc6-8aeb-ae22755e0ad9,Genderbase Security,dave@dave.io,dave@dave.io,"authentication, security",,,,,,,,,,,,,GDB-57,,,,,
GDB-61,Genderbase,Create responder login/logout UI,Build login and logout interface components,Backlog,,High,9492a27d-e337-4bc6-8aeb-ae22755e0ad9,Genderbase Security,dave@dave.io,dave@dave.io,"authentication, ui",,,,,,,,,,,,,GDB-57,,,,,
GDB-62,Genderbase,Responder dashboard,Build dashboard for responders to view pending questions and their conversations,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"dashboard, responders, ui",,,,,,,,,,,,,,,,,,
GDB-63,Genderbase,Design responder dashboard layout,Create layout for responder dashboard,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"dashboard, responders, ui",,,,,,,,,,,,,GDB-62,,,,,
GDB-64,Genderbase,Implement pending questions widget,Build dashboard widget showing pending questions,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"dashboard, responders, ui",,,,,,,,,,,,,GDB-62,,,,,
GDB-65,Genderbase,Add active conversations widget,Create dashboard display of active conversations,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"dashboard, responders, ui",,,,,,,,,,,,,GDB-62,,,,,
GDB-66,Genderbase,Create responder metrics display,Build widget showing responder activity metrics,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"dashboard, responders, metrics",,,,,,,,,,,,,GDB-62,,,,,
GDB-67,Genderbase,Category and tag system,Create system for categorizing and tagging knowledge articles and questions,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"taxonomy, organization",,,,,,,,,,,,,,,,,,
GDB-68,Genderbase,Implement category data model,Create database models for categories,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"taxonomy, database",,,,,,,,,,,,,GDB-67,,,,,
GDB-69,Genderbase,Create tagging system backend,Build tag data model and relationships,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"taxonomy, database, tags",,,,,,,,,,,,,GDB-67,,,,,
GDB-70,Genderbase,Implement category selector UI,Create UI for selecting categories,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"taxonomy, ui",,,,,,,,,,,,,GDB-67,,,,,
GDB-71,Genderbase,Add tag input interface,Build UI for adding and managing tags,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"taxonomy, ui, tags",,,,,,,,,,,,,GDB-67,,,,,
GDB-72,Genderbase,AI-assisted summary generation,Implement AI assistance for summarizing conversations into knowledge articles,Backlog,,Low,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"ai, knowledge-base",,,,,,,,,,,,,,,,,,
GDB-73,Genderbase,Research AI summary generation options,Evaluate AI services for summary generation,Backlog,,Low,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"ai, knowledge-base, research",,,,,,,,,,,,,GDB-72,,,,,
GDB-74,Genderbase,Create AI integration service,Build service to connect with chosen AI provider,Backlog,,Low,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"ai, knowledge-base, integration",,,,,,,,,,,,,GDB-72,,,,,
GDB-75,Genderbase,Implement summary generation UI,Create interface for generating and editing AI summaries,Backlog,,Low,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"ai, knowledge-base, ui",,,,,,,,,,,,,GDB-72,,,,,
GDB-76,Genderbase,Responder onboarding process,Create process for vetting and onboarding new responders,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"responders, onboarding",,,,,,,,,,,,,,,,,,
GDB-77,Genderbase,Design responder application form,Create application form for prospective responders,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"responders, onboarding, ui",,,,,,,,,,,,,GDB-76,,,,,
GDB-78,Genderbase,Implement responder approval workflow,Build process for reviewing responder applications,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"responders, onboarding, workflow",,,,,,,,,,,,,GDB-76,,,,,
GDB-79,Genderbase,Create responder training materials,Develop training content for new responders,Backlog,,Medium,f0594e72-abee-4c3a-88d0-e139e332d0a7,Genderbase Documentation,dave@dave.io,dave@dave.io,"responders, onboarding, documentation",,,,,,,,,,,,,GDB-76,,,,,
GDB-80,Genderbase,Basic analytics,Add analytics to track usage patterns and popular topics,Backlog,,Low,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"analytics, metrics",,,,,,,,,,,,,,,,,,
GDB-81,Genderbase,Set up analytics tracking,Implement event tracking for key user actions,Backlog,,Low,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"analytics, metrics, tracking",,,,,,,,,,,,,GDB-80,,,,,
GDB-82,Genderbase,Create analytics dashboard,Build dashboard for viewing analytics data,Backlog,,Low,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"analytics, metrics, ui",,,,,,,,,,,,,GDB-80,,,,,
GDB-83,Genderbase,Implement topic tracking system,Create system to track common question topics,Backlog,,Low,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"analytics, topics",,,,,,,,,,,,,GDB-80,,,,,
GDB-84,Genderbase,User feedback mechanism,Implement way for users to provide feedback on answers and knowledge articles,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"feedback, ux",,,,,,,,,,,,,,,,,,
GDB-85,Genderbase,Design feedback UI components,Create interface elements for user feedback,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"feedback, ui",,,,,,,,,,,,,GDB-84,,,,,
GDB-86,Genderbase,Implement feedback submission backend,Build server-side handling of user feedback,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"feedback, backend",,,,,,,,,,,,,GDB-84,,,,,
GDB-87,Genderbase,Create feedback reporting system,Build system to aggregate and report on feedback,Backlog,,Low,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"feedback, reporting",,,,,,,,,,,,,GDB-84,,,,,
GDB-88,Genderbase,Administrative tools,Create tools for site administrators to manage content and users,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"admin, moderation",,,,,,,,,,,,,,,,,,
GDB-89,Genderbase,Design admin interface layout,Create layout for administrative tools,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"admin, ui",,,,,,,,,,,,,GDB-88,,,,,
GDB-90,Genderbase,Implement user management tools,Build interfaces for managing users and permissions,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"admin, users, ui",,,,,,,,,,,,,GDB-88,,,,,
GDB-91,Genderbase,Create content management dashboard,Build dashboard for content management,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"admin, content, ui",,,,,,,,,,,,,GDB-88,,,,,
GDB-92,Genderbase,Content moderation tools,Build tools for responders to flag and moderate problematic content,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"moderation, safety",,,,,,,,,,,,,,,,,,
GDB-93,Genderbase,Design content moderation interface,Create interface for moderating content,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"moderation, ui",,,,,,,,,,,,,GDB-92,,,,,
GDB-94,Genderbase,Implement content flagging system,Build system for flagging problematic content,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"moderation, flagging",,,,,,,,,,,,,GDB-92,,,,,
GDB-95,Genderbase,Create moderation queue,Implement queue for reviewing flagged content,Backlog,,Medium,8d9d1507-c3e0-420b-a85e-e26fe5b6f707,Genderbase Community,dave@dave.io,dave@dave.io,"moderation, queue",,,,,,,,,,,,,GDB-92,,,,,
GDB-96,Genderbase,Home page design and implementation,Create welcoming home page explaining the site's purpose and features,Backlog,,High,cd8ea5e9-a0eb-4cfc-a3ff-3c1c6b4570dd,Genderbase Promotion,dave@dave.io,dave@dave.io,"ui, home-page",,,,,,,,,,,,,,,,,,
GDB-97,Genderbase,Design home page layout,Create welcoming and informative home page design,Backlog,,High,cd8ea5e9-a0eb-4cfc-a3ff-3c1c6b4570dd,Genderbase Promotion,dave@dave.io,dave@dave.io,"ui, home-page",,,,,,,,,,,,,GDB-96,,,,,
GDB-98,Genderbase,Implement home page features,Build home page components and content,Backlog,,High,cd8ea5e9-a0eb-4cfc-a3ff-3c1c6b4570dd,Genderbase Promotion,dave@dave.io,dave@dave.io,"ui, home-page",,,,,,,,,,,,,GDB-96,,,,,
GDB-99,Genderbase,Create site introduction content,Develop clear explanations of site purpose and features,Backlog,,High,cd8ea5e9-a0eb-4cfc-a3ff-3c1c6b4570dd,Genderbase Promotion,dave@dave.io,dave@dave.io,"ui, home-page, content",,,,,,,,,,,,,GDB-96,,,,,
GDB-100,Genderbase,Automated testing,Implement comprehensive automated testing for all core features,Backlog,,Medium,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"testing, quality",,,,,,,,,,,,,,,,,,
GDB-101,Genderbase,Set up test framework,Configure testing framework and initial setup,Backlog,,Medium,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"testing, setup",,,,,,,,,,,,,GDB-100,,,,,
GDB-102,Genderbase,Create model unit tests,Write tests for model validations and methods,Backlog,,Medium,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"testing, unit",,,,,,,,,,,,,GDB-100,,,,,
GDB-103,Genderbase,Implement controller tests,Write tests for controller actions,Backlog,,Medium,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"testing, controllers",,,,,,,,,,,,,GDB-100,,,,,
GDB-104,Genderbase,Create system/integration tests,Implement end-to-end testing of key workflows,Backlog,,Medium,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"testing, integration",,,,,,,,,,,,,GDB-100,,,,,
GDB-105,Genderbase,Documentation for responders,Write comprehensive documentation for responders on using the system,Backlog,,Medium,f0594e72-abee-4c3a-88d0-e139e332d0a7,Genderbase Documentation,dave@dave.io,dave@dave.io,"documentation, responders",,,,,,,,,,,,,,,,,,
GDB-106,Genderbase,Write responder guide introduction,Create overview of the responder role,Backlog,,Medium,f0594e72-abee-4c3a-88d0-e139e332d0a7,Genderbase Documentation,dave@dave.io,dave@dave.io,"documentation, responders",,,,,,,,,,,,,GDB-105,,,,,
GDB-107,Genderbase,Develop question handling guidelines,Write guidelines for appropriately answering questions,Backlog,,Medium,f0594e72-abee-4c3a-88d0-e139e332d0a7,Genderbase Documentation,dave@dave.io,dave@dave.io,"documentation, responders",,,,,,,,,,,,,GDB-105,,,,,
GDB-108,Genderbase,Create knowledge base contribution guide,Write guide for creating knowledge articles,Backlog,,Medium,f0594e72-abee-4c3a-88d0-e139e332d0a7,Genderbase Documentation,dave@dave.io,dave@dave.io,"documentation, responders",,,,,,,,,,,,,GDB-105,,,,,
GDB-109,Genderbase,Accessibility improvements,Ensure site meets WCAG accessibility standards,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"accessibility, ux",,,,,,,,,,,,,,,,,,
GDB-110,Genderbase,Audit site for accessibility issues,Review site against WCAG standards,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"accessibility, audit",,,,,,,,,,,,,GDB-109,,,,,
GDB-111,Genderbase,Implement keyboard navigation improvements,Enhance keyboard navigation throughout the site,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"accessibility, keyboard",,,,,,,,,,,,,GDB-109,,,,,
GDB-112,Genderbase,Add ARIA attributes to components,Improve screen reader compatibility with ARIA,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"accessibility, aria",,,,,,,,,,,,,GDB-109,,,,,
GDB-113,Genderbase,Create text alternatives for visual elements,Add alt text and descriptions for images and icons,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"accessibility, alt-text",,,,,,,,,,,,,GDB-109,,,,,
GDB-114,Genderbase,Production deployment,Configure production deployment process with proper security and scaling,Backlog,,High,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"deployment, infrastructure",,,,,,,,,,,,,,,,,,
GDB-115,Genderbase,Configure Kamal deployment setup,Set up Kamal for Docker-based deployment,Backlog,,High,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"deployment, kamal",,,,,,,,,,,,,GDB-114,,,,,
GDB-116,Genderbase,Create production environment configuration,Configure environment for production deployment,Backlog,,High,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"deployment, configuration",,,,,,,,,,,,,GDB-114,,,,,
GDB-117,Genderbase,Set up SSL certificates,Implement SSL for secure connections,Backlog,,High,ed2f606d-c418-4e7b-be9e-1061fb9d9635,Genderbase DevOps,dave@dave.io,dave@dave.io,"deployment, ssl",,,,,,,,,,,,,GDB-114,,,,,
GDB-118,Genderbase,Create deployment documentation,Write documentation for deployment process,Backlog,,Medium,f0594e72-abee-4c3a-88d0-e139e332d0a7,Genderbase Documentation,dave@dave.io,dave@dave.io,"deployment, documentation",,,,,,,,,,,,,GDB-114,,,,,
